# Generated: 2026-05-22T12:07+01:00
Supermarket,Product,Quantity,Price,From Date,Until Date,Status,Active today,category,from_sort,until_sort
Aldi,Baby Plum Tomatoes,250 g,€0.79,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
Aldi,Broccoli,500 g,€0.49,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
Aldi,Brown Onions,1 kg,€0.49,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
Aldi,Loose Conference Pear,Each,€0.29,21/05,03/06,Live,True,fruit,2026-05-21,2026-06-03
Aldi,Orange,3 for €1,€1,21/05,03/06,Live,True,fruit,2026-05-21,2026-06-03
Aldi,Rooster Potatoes,1 kg,€0.49,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
Aldi,Loose Ready to Eat Avocado,Each,€0.49,07/05,20/05,Ended,False,fruit,2026-05-07,2026-05-20
Aldi,Mango,Each,€0.59,07/05,20/05,Ended,False,fruit,2026-05-07,2026-05-20
Aldi,Microwaveable Baby Potatoes,400 g,€0.49,07/05,20/05,Ended,False,vegetable,2026-05-07,2026-05-20
Aldi,Oranges,4 pack,€1.49,07/05,20/05,Ended,False,fruit,2026-05-07,2026-05-20
Aldi,Shallots,300 g,€0.49,07/05,20/05,Ended,False,vegetable,2026-05-07,2026-05-20
Aldi,Snack Bite Peppers,250 g,€0.79,07/05,20/05,Ended,False,vegetable,2026-05-07,2026-05-20
Lidl,Deluxe Baby Potatoes,750 g,€0.79,21/05,27/05,Live,True,vegetable,2026-05-21,2026-05-27
Lidl,Family Pack Mushrooms,433 g,€0.99,21/05,27/05,Live,True,vegetable,2026-05-21,2026-05-27
Lidl,Loose Red Apples,1 piece,€0.39,21/05,27/05,Live,True,fruit,2026-05-21,2026-05-27
Lidl,Plum Tomatoes,500 g,€1.29,21/05,27/05,Live,True,vegetable,2026-05-21,2026-05-27
Lidl,Radish,250 g,€0.49,21/05,27/05,Live,True,vegetable,2026-05-21,2026-05-27
Lidl,Shallots,300 g,€0.59,21/05,27/05,Live,True,vegetable,2026-05-21,2026-05-27
Lidl,Asparagus,100 g,€0.9,28/05,03/05,Upcoming,False,vegetable,2026-05-28,2027-05-03
Lidl,Extra Fine Beans,220 g,€0.99,28/05,03/05,Upcoming,False,vegetable,2026-05-28,2027-05-03
Lidl,Irish Rooster Potatoes,1 kg,€0.99,28/05,03/05,Upcoming,False,vegetable,2026-05-28,2027-05-03
Lidl,Loose Grapefruit,1 piece,€0.49,28/05,03/05,Upcoming,False,fruit,2026-05-28,2027-05-03
Lidl,PINK LADY Apples,6 pack,€1.99,28/05,03/05,Upcoming,False,fruit,2026-05-28,2027-05-03
SuperValu,Baby Potatoes,1 kg,€0.79,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
SuperValu,Extra Large Oranges,4 pack,€1.49,21/05,03/06,Live,True,fruit,2026-05-21,2026-06-03
SuperValu,Loose Conference Pears,Each,€0.29,21/05,03/06,Live,True,fruit,2026-05-21,2026-06-03
SuperValu,Royal Gala Apple,6 pack,€0.99,21/05,03/06,Live,True,fruit,2026-05-21,2026-06-03
SuperValu,Super Sweet Irish Strawberries,325 g,€4.50,21/05,03/06,Live,True,fruit,2026-05-21,2026-06-03
SuperValu,Twinpack Peppers,2 pce,€0.99,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
SuperValu,Vine Tomato,500 g,€1.49,21/05,03/06,Live,True,vegetable,2026-05-21,2026-06-03
Tesco,Dole Easypeelers,500 g,€0.74,07/05,03/06,Live,True,fruit,2026-05-07,2026-06-03
Tesco,Red Onion,750 g,€0.69,07/05,03/06,Live,True,vegetable,2026-05-07,2026-06-03
Tesco,Salad Tomatoes,6 pack,€0.89,07/05,03/06,Live,True,vegetable,2026-05-07,2026-06-03
Tesco,Whole Cucumber,Each,€0.79,07/05,03/06,Live,True,vegetable,2026-05-07,2026-06-03
